indicator,age_modifier,sex_modifier,value,county,sub_indicator
school_age_children,TOTAL,MALE,241502,Meru,School-aged children MALE
school_age_children,TOTAL,TOTAL,485915,Meru,School-aged children TOTAL
out_of_school_children,PREPRIMARY_ECE,FEMALE,5710,Meru,Out-of-School children PREPRIMARY/ECE FEMALE
out_of_school_children,PREPRIMARY_ECE,MALE,6260,Meru,Out-of-School children PREPRIMARY/ECE MALE
out_of_school_children,PREPRIMARY_ECE,TOTAL,11970,Meru,Out-of-School children PREPRIMARY/ECE TOTAL
out_of_school_children,PRIMARY,FEMALE,5280,Meru,Out-of-School children PRIMARY FEMALE
out_of_school_children,PRIMARY,MALE,6590,Meru,Out-of-School children PRIMARY MALE
out_of_school_children,PRIMARY,TOTAL,11870,Meru,Out-of-School children PRIMARY TOTAL
out_of_school_children,SECONDARY,FEMALE,7940,Meru,Out-of-School children SECONDARY FEMALE
out_of_school_children,SECONDARY,MALE,10260,Meru,Out-of-School children SECONDARY MALE
out_of_school_children,SECONDARY,TOTAL,18200,Meru,Out-of-School children SECONDARY TOTAL
Percentage of Teenage Pregnancy for girls/women aged 15-19 yrs who have ever been pregnant,TOTAL,FEMALE,23.599999999999998,Meru,Percentage Of Teenage Pregnancy For Girls/Women Aged 15-19 Yrs Who Have Ever Been Pregnant FEMALE
GBV: Percentage of girls/women who have experienced physical violence since age 15,TOTAL,FEMALE,35.8,Meru,GBV: Percentage Of Girls/Women Who Have Experienced Physical Violence Since Age 15 FEMALE
GBV: Percentage of girls/women aged 15-49 yrs who have ever experienced sexual violence,TOTAL,FEMALE,16,Meru,GBV: Percentage Of Girls/Women Aged 15-49 Yrs Who Have Ever Experienced Sexual Violence FEMALE
Number of education Institutions (Public & Private),PREPRIMARY_ECE,NA,616,Samburu,Number Of Education Institutions (Public & Private) PREPRIMARY/ECE 
Number of education Institutions (Public & Private),PRIMARY,NA,205,Samburu,Number Of Education Institutions (Public & Private) PRIMARY 
Number of education Institutions (Public & Private),SECONDARY,NA,52,Samburu,Number Of Education Institutions (Public & Private) SECONDARY 
Gender Parity Index,PREPRIMARY_ECE,TOTAL,0.9,Samburu,Gender Parity Index PREPRIMARY/ECE TOTAL
Gender Parity Index,PRIMARY,TOTAL,0.9,Samburu,Gender Parity Index PRIMARY TOTAL
Gender Parity Index,SECONDARY,TOTAL,0.74,Samburu,Gender Parity Index SECONDARY TOTAL
Learner to teacher Ratio in Public Schools,PREPRIMARY_ECE,TOTAL,39,Samburu,Learner-Teacher Ratio In Public Schools PREPRIMARY/ECE TOTAL
Learner to teacher Ratio in Public Schools,PRIMARY,TOTAL,40,Samburu,Learner-Teacher Ratio In Public Schools PRIMARY TOTAL
Learner to teacher Ratio in Public Schools,SECONDARY,TOTAL,22,Samburu,Learner-Teacher Ratio In Public Schools SECONDARY TOTAL
Learner-Classroom Ratio in Public Schools,PREPRIMARY_ECE,TOTAL,61,Samburu,Learner-Classroom Ratio In Public Schools PREPRIMARY/ECE TOTAL
Learner-Classroom Ratio in Public Schools,PRIMARY,TOTAL,37,Samburu,Learner-Classroom Ratio In Public Schools PRIMARY TOTAL
Learner-Classroom Ratio in Public Schools,SECONDARY,TOTAL,31,Samburu,Learner-Classroom Ratio In Public Schools SECONDARY TOTAL
Percentage of students with no access to improved water source,NA,TOTAL,48,Samburu,Percentage Of Students With No Access To Improved Water Source  TOTAL
Number of schools with no water source,NA,TOTAL,135,Samburu,Number Of Schools With No Water Source  TOTAL
Students' dropout/Absenteeism during 2022,PREPRIMARY_ECE,FEMALE,0,Samburu,Students' Dropout/Absenteeism During 2022 PREPRIMARY/ECE FEMALE
Students' dropout/Absenteeism during 2022,PREPRIMARY_ECE,MALE,0,Samburu,Students' Dropout/Absenteeism During 2022 PREPRIMARY/ECE MALE
Students' dropout/Absenteeism during 2022,PREPRIMARY_ECE,TOTAL,0,Samburu,Students' Dropout/Absenteeism During 2022 PREPRIMARY/ECE TOTAL
Students' dropout/Absenteeism during 2022,PRIMARY,FEMALE,2504,Samburu,Students' Dropout/Absenteeism During 2022 PRIMARY FEMALE
Students' dropout/Absenteeism during 2022,PRIMARY,MALE,2609,Samburu,Students' Dropout/Absenteeism During 2022 PRIMARY MALE
Students' dropout/Absenteeism during 2022,PRIMARY,TOTAL,5113,Samburu,Students' Dropout/Absenteeism During 2022 PRIMARY TOTAL
Students' dropout/Absenteeism during 2022,SECONDARY,FEMALE,93,Samburu,Students' Dropout/Absenteeism During 2022 SECONDARY FEMALE
Students' dropout/Absenteeism during 2022,SECONDARY,MALE,1408,Samburu,Students' Dropout/Absenteeism During 2022 SECONDARY MALE
Students' dropout/Absenteeism during 2022,SECONDARY,TOTAL,1501,Samburu,Students' Dropout/Absenteeism During 2022 SECONDARY TOTAL
Net Enrolment Rate (NER),PREPRIMARY_ECE,FEMALE,64.1,Samburu,Net Enrolment Rate (NER) PREPRIMARY/ECE FEMALE
Net Enrolment Rate (NER),PREPRIMARY_ECE,MALE,68.6,Samburu,Net Enrolment Rate (NER) PREPRIMARY/ECE MALE
Net Enrolment Rate (NER),PREPRIMARY_ECE,TOTAL,66.4,Samburu,Net Enrolment Rate (NER) PREPRIMARY/ECE TOTAL
Net Enrolment Rate (NER),PRIMARY,FEMALE,43,Samburu,Net Enrolment Rate (NER) PRIMARY FEMALE
Net Enrolment Rate (NER),PRIMARY,MALE,45,Samburu,Net Enrolment Rate (NER) PRIMARY MALE
Net Enrolment Rate (NER),PRIMARY,TOTAL,44,Samburu,Net Enrolment Rate (NER) PRIMARY TOTAL
Net Enrolment Rate (NER),SECONDARY,FEMALE,29.6,Samburu,Net Enrolment Rate (NER) SECONDARY FEMALE
Net Enrolment Rate (NER),SECONDARY,MALE,30.4,Samburu,Net Enrolment Rate (NER) SECONDARY MALE
Net Enrolment Rate (NER),SECONDARY,TOTAL,30,Samburu,Net Enrolment Rate (NER) SECONDARY TOTAL
Primary-to-Secondary Transition Rate,SECONDARY,FEMALE,82.6,Samburu,Primary-To-Secondary Transition Rate SECONDARY FEMALE
Primary-to-Secondary Transition Rate,SECONDARY,MALE,78.9,Samburu,Primary-To-Secondary Transition Rate SECONDARY MALE
Primary-to-Secondary Transition Rate,SECONDARY,TOTAL,80.6,Samburu,Primary-To-Secondary Transition Rate SECONDARY TOTAL
county_population,TOTAL,FEMALE,175936,Samburu,County population FEMALE
county_population,TOTAL,MALE,172362,Samburu,County population MALE
county_population,TOTAL,TOTAL,348298,Samburu,County population TOTAL
school_age_children,TOTAL,FEMALE,136615,Samburu,School-aged children FEMALE
school_age_children,TOTAL,MALE,133304,Samburu,School-aged children MALE
school_age_children,TOTAL,TOTAL,269919,Samburu,School-aged children TOTAL
out_of_school_children,PREPRIMARY_ECE,FEMALE,6420,Samburu,Out-of-School children PREPRIMARY/ECE FEMALE
out_of_school_children,PREPRIMARY_ECE,MALE,6290,Samburu,Out-of-School children PREPRIMARY/ECE MALE
out_of_school_children,PREPRIMARY_ECE,TOTAL,12710,Samburu,Out-of-School children PREPRIMARY/ECE TOTAL
out_of_school_children,PRIMARY,FEMALE,17560,Samburu,Out-of-School children PRIMARY FEMALE
out_of_school_children,PRIMARY,MALE,19130,Samburu,Out-of-School children PRIMARY MALE
out_of_school_children,PRIMARY,TOTAL,36690,Samburu,Out-of-School children PRIMARY TOTAL
out_of_school_children,SECONDARY,FEMALE,6570,Samburu,Out-of-School children SECONDARY FEMALE
out_of_school_children,SECONDARY,MALE,8840,Samburu,Out-of-School children SECONDARY MALE
out_of_school_children,SECONDARY,TOTAL,15410,Samburu,Out-of-School children SECONDARY TOTAL
Percentage of Teenage Pregnancy for girls/women aged 15-19 yrs who have ever been pregnant,TOTAL,FEMALE,50.1,Samburu,Percentage Of Teenage Pregnancy For Girls/Women Aged 15-19 Yrs Who Have Ever Been Pregnant FEMALE
GBV: Percentage of girls/women who have experienced physical violence since age 15,TOTAL,FEMALE,48.6,Samburu,GBV: Percentage Of Girls/Women Who Have Experienced Physical Violence Since Age 15 FEMALE
GBV: Percentage of girls/women aged 15-49 yrs who have ever experienced sexual violence,TOTAL,FEMALE,6.9,Samburu,GBV: Percentage Of Girls/Women Aged 15-49 Yrs Who Have Ever Experienced Sexual Violence FEMALE
Number of education Institutions (Public & Private),PREPRIMARY_ECE,NA,367,Tana River,Number Of Education Institutions (Public & Private) PREPRIMARY/ECE 
Number of education Institutions (Public & Private),PRIMARY,NA,207,Tana River,Number Of Education Institutions (Public & Private) PRIMARY 
Number of education Institutions (Public & Private),SECONDARY,NA,35,Tana River,Number Of Education Institutions (Public & Private) SECONDARY 
Gender Parity Index,PREPRIMARY_ECE,TOTAL,0.9,Tana River,Gender Parity Index PREPRIMARY/ECE TOTAL
Gender Parity Index,PRIMARY,TOTAL,0.97,Tana River,Gender Parity Index PRIMARY TOTAL
Gender Parity Index,SECONDARY,TOTAL,0.83,Tana River,Gender Parity Index SECONDARY TOTAL
Learner to teacher Ratio in Public Schools,PREPRIMARY_ECE,TOTAL,82,Tana River,Learner-Teacher Ratio In Public Schools PREPRIMARY/ECE TOTAL
Learner to teacher Ratio in Public Schools,PRIMARY,TOTAL,35,Tana River,Learner-Teacher Ratio In Public Schools PRIMARY TOTAL
Learner to teacher Ratio in Public Schools,SECONDARY,TOTAL,24,Tana River,Learner-Teacher Ratio In Public Schools SECONDARY TOTAL
Learner-Classroom Ratio in Public Schools,PREPRIMARY_ECE,TOTAL,73,Tana River,Learner-Classroom Ratio In Public Schools PREPRIMARY/ECE TOTAL
Learner-Classroom Ratio in Public Schools,PRIMARY,TOTAL,38,Tana River,Learner-Classroom Ratio In Public Schools PRIMARY TOTAL
Learner-Classroom Ratio in Public Schools,SECONDARY,TOTAL,33,Tana River,Learner-Classroom Ratio In Public Schools SECONDARY TOTAL
Percentage of students with no access to improved water source,NA,TOTAL,53,Tana River,Percentage Of Students With No Access To Improved Water Source  TOTAL
Number of schools with no water source,NA,TOTAL,122,Tana River,Number Of Schools With No Water Source  TOTAL
Students' dropout/Absenteeism during 2022,PREPRIMARY_ECE,FEMALE,461,Tana River,Students' Dropout/Absenteeism During 2022 PREPRIMARY/ECE FEMALE
Students' dropout/Absenteeism during 2022,PREPRIMARY_ECE,MALE,1446,Tana River,Students' Dropout/Absenteeism During 2022 PREPRIMARY/ECE MALE
Students' dropout/Absenteeism during 2022,PREPRIMARY_ECE,TOTAL,1907,Tana River,Students' Dropout/Absenteeism During 2022 PREPRIMARY/ECE TOTAL
Students' dropout/Absenteeism during 2022,PRIMARY,FEMALE,1356,Tana River,Students' Dropout/Absenteeism During 2022 PRIMARY FEMALE
Students' dropout/Absenteeism during 2022,PRIMARY,MALE,1271,Tana River,Students' Dropout/Absenteeism During 2022 PRIMARY MALE
Students' dropout/Absenteeism during 2022,PRIMARY,TOTAL,2627,Tana River,Students' Dropout/Absenteeism During 2022 PRIMARY TOTAL
Students' dropout/Absenteeism during 2022,SECONDARY,FEMALE,0,Tana River,Students' Dropout/Absenteeism During 2022 SECONDARY FEMALE
Students' dropout/Absenteeism during 2022,SECONDARY,MALE,0,Tana River,Students' Dropout/Absenteeism During 2022 SECONDARY MALE
Students' dropout/Absenteeism during 2022,SECONDARY,TOTAL,0,Tana River,Students' Dropout/Absenteeism During 2022 SECONDARY TOTAL
Net Enrolment Rate (NER),PREPRIMARY_ECE,FEMALE,91.4,Tana River,Net Enrolment Rate (NER) PREPRIMARY/ECE FEMALE
Net Enrolment Rate (NER),PREPRIMARY_ECE,MALE,96.5,Tana River,Net Enrolment Rate (NER) PREPRIMARY/ECE MALE
Net Enrolment Rate (NER),PREPRIMARY_ECE,TOTAL,94,Tana River,Net Enrolment Rate (NER) PREPRIMARY/ECE TOTAL
Net Enrolment Rate (NER),PRIMARY,FEMALE,48.8,Tana River,Net Enrolment Rate (NER) PRIMARY FEMALE
Net Enrolment Rate (NER),PRIMARY,MALE,47.3,Tana River,Net Enrolment Rate (NER) PRIMARY MALE
Net Enrolment Rate (NER),PRIMARY,TOTAL,48.1,Tana River,Net Enrolment Rate (NER) PRIMARY TOTAL
Net Enrolment Rate (NER),SECONDARY,FEMALE,18.1,Tana River,Net Enrolment Rate (NER) SECONDARY FEMALE
Net Enrolment Rate (NER),SECONDARY,MALE,19.6,Tana River,Net Enrolment Rate (NER) SECONDARY MALE
Net Enrolment Rate (NER),SECONDARY,TOTAL,18.9,Tana River,Net Enrolment Rate (NER) SECONDARY TOTAL
Primary-to-Secondary Transition Rate,SECONDARY,FEMALE,80.3,Tana River,Primary-To-Secondary Transition Rate SECONDARY FEMALE
Primary-to-Secondary Transition Rate,SECONDARY,MALE,84.3,Tana River,Primary-To-Secondary Transition Rate SECONDARY MALE
Primary-to-Secondary Transition Rate,SECONDARY,TOTAL,82.4,Tana River,Primary-To-Secondary Transition Rate SECONDARY TOTAL
county_population,TOTAL,FEMALE,178288,Tana River,County population FEMALE
county_population,TOTAL,MALE,174260,Tana River,County population MALE
county_population,TOTAL,TOTAL,352549,Tana River,County population TOTAL
school_age_children,TOTAL,FEMALE,71353,Tana River,School-aged children FEMALE
school_age_children,TOTAL,MALE,69423,Tana River,School-aged children MALE
school_age_children,TOTAL,TOTAL,140776,Tana River,School-aged children TOTAL
out_of_school_children,PREPRIMARY_ECE,FEMALE,6490,Tana River,Out-of-School children PREPRIMARY/ECE FEMALE
out_of_school_children,PREPRIMARY_ECE,MALE,6950,Tana River,Out-of-School children PREPRIMARY/ECE MALE
out_of_school_children,PREPRIMARY_ECE,TOTAL,13440,Tana River,Out-of-School children PREPRIMARY/ECE TOTAL
out_of_school_children,PRIMARY,FEMALE,12940,Tana River,Out-of-School children PRIMARY FEMALE
out_of_school_children,PRIMARY,MALE,13140,Tana River,Out-of-School children PRIMARY MALE
out_of_school_children,PRIMARY,TOTAL,26080,Tana River,Out-of-School children PRIMARY TOTAL
out_of_school_children,SECONDARY,FEMALE,5430,Tana River,Out-of-School children SECONDARY FEMALE
out_of_school_children,SECONDARY,MALE,4990,Tana River,Out-of-School children SECONDARY MALE
out_of_school_children,SECONDARY,TOTAL,10420,Tana River,Out-of-School children SECONDARY TOTAL
Percentage of Teenage Pregnancy for girls/women aged 15-19 yrs who have ever been pregnant,TOTAL,FEMALE,17.599999999999998,Tana River,Percentage Of Teenage Pregnancy For Girls/Women Aged 15-19 Yrs Who Have Ever Been Pregnant FEMALE
GBV: Percentage of girls/women who have experienced physical violence since age 15,TOTAL,FEMALE,35.8,Tana River,GBV: Percentage Of Girls/Women Who Have Experienced Physical Violence Since Age 15 FEMALE
GBV: Percentage of girls/women aged 15-49 yrs who have ever experienced sexual violence,TOTAL,FEMALE,2.3,Tana River,GBV: Percentage Of Girls/Women Aged 15-49 Yrs Who Have Ever Experienced Sexual Violence FEMALE
Number of education Institutions (Public & Private),PREPRIMARY_ECE,NA,557,Tharaka-Nithi,Number Of Education Institutions (Public & Private) PREPRIMARY/ECE 
Number of education Institutions (Public & Private),PRIMARY,NA,545,Tharaka-Nithi,Number Of Education Institutions (Public & Private) PRIMARY 
Number of education Institutions (Public & Private),SECONDARY,NA,160,Tharaka-Nithi,Number Of Education Institutions (Public & Private) SECONDARY 
Gender Parity Index,PREPRIMARY_ECE,TOTAL,1,Tharaka-Nithi,Gender Parity Index PREPRIMARY/ECE TOTAL
Gender Parity Index,PRIMARY,TOTAL,0.97,Tharaka-Nithi,Gender Parity Index PRIMARY TOTAL
Gender Parity Index,SECONDARY,TOTAL,1.08,Tharaka-Nithi,Gender Parity Index SECONDARY TOTAL
Learner to teacher Ratio in Public Schools,PREPRIMARY_ECE,TOTAL,29,Tharaka-Nithi,Learner-Teacher Ratio In Public Schools PREPRIMARY/ECE TOTAL
Learner to teacher Ratio in Public Schools,PRIMARY,TOTAL,22,Tharaka-Nithi,Learner-Teacher Ratio In Public Schools PRIMARY TOTAL
Learner to teacher Ratio in Public Schools,SECONDARY,TOTAL,24,Tharaka-Nithi,Learner-Teacher Ratio In Public Schools SECONDARY TOTAL
Learner-Classroom Ratio in Public Schools,PREPRIMARY_ECE,TOTAL,31,Tharaka-Nithi,Learner-Classroom Ratio In Public Schools PREPRIMARY/ECE TOTAL
Learner-Classroom Ratio in Public Schools,PRIMARY,TOTAL,20,Tharaka-Nithi,Learner-Classroom Ratio In Public Schools PRIMARY TOTAL
Learner-Classroom Ratio in Public Schools,SECONDARY,TOTAL,37,Tharaka-Nithi,Learner-Classroom Ratio In Public Schools SECONDARY TOTAL
Percentage of students with no access to improved water source,NA,TOTAL,23,Tharaka-Nithi,Percentage Of Students With No Access To Improved Water Source  TOTAL
Number of schools with no water source,NA,TOTAL,164,Tharaka-Nithi,Number Of Schools With No Water Source  TOTAL
Students' dropout/Absenteeism during 2022,PREPRIMARY_ECE,FEMALE,65,Tharaka-Nithi,Students' Dropout/Absenteeism During 2022 PREPRIMARY/ECE FEMALE
Students' dropout/Absenteeism during 2022,PREPRIMARY_ECE,MALE,45,Tharaka-Nithi,Students' Dropout/Absenteeism During 2022 PREPRIMARY/ECE MALE
Students' dropout/Absenteeism during 2022,PREPRIMARY_ECE,TOTAL,110,Tharaka-Nithi,Students' Dropout/Absenteeism During 2022 PREPRIMARY/ECE TOTAL
Students' dropout/Absenteeism during 2022,PRIMARY,FEMALE,1080,Tharaka-Nithi,Students' Dropout/Absenteeism During 2022 PRIMARY FEMALE
Students' dropout/Absenteeism during 2022,PRIMARY,MALE,941,Tharaka-Nithi,Students' Dropout/Absenteeism During 2022 PRIMARY MALE
Students' dropout/Absenteeism during 2022,PRIMARY,TOTAL,2021,Tharaka-Nithi,Students' Dropout/Absenteeism During 2022 PRIMARY TOTAL
Students' dropout/Absenteeism during 2022,SECONDARY,FEMALE,3,Tharaka-Nithi,Students' Dropout/Absenteeism During 2022 SECONDARY FEMALE
Students' dropout/Absenteeism during 2022,SECONDARY,MALE,81,Tharaka-Nithi,Students' Dropout/Absenteeism During 2022 SECONDARY MALE
Students' dropout/Absenteeism during 2022,SECONDARY,TOTAL,84,Tharaka-Nithi,Students' Dropout/Absenteeism During 2022 SECONDARY TOTAL
Net Enrolment Rate (NER),PREPRIMARY_ECE,FEMALE,171.2,Tharaka-Nithi,Net Enrolment Rate (NER) PREPRIMARY/ECE FEMALE
Net Enrolment Rate (NER),PREPRIMARY_ECE,MALE,168.6,Tharaka-Nithi,Net Enrolment Rate (NER) PREPRIMARY/ECE MALE
Net Enrolment Rate (NER),PREPRIMARY_ECE,TOTAL,169.9,Tharaka-Nithi,Net Enrolment Rate (NER) PREPRIMARY/ECE TOTAL
Net Enrolment Rate (NER),PRIMARY,FEMALE,98.9,Tharaka-Nithi,Net Enrolment Rate (NER) PRIMARY FEMALE
Net Enrolment Rate (NER),PRIMARY,MALE,100.8,Tharaka-Nithi,Net Enrolment Rate (NER) PRIMARY MALE
Net Enrolment Rate (NER),PRIMARY,TOTAL,99.9,Tharaka-Nithi,Net Enrolment Rate (NER) PRIMARY TOTAL
Net Enrolment Rate (NER),SECONDARY,FEMALE,102.8,Tharaka-Nithi,Net Enrolment Rate (NER) SECONDARY FEMALE
Net Enrolment Rate (NER),SECONDARY,MALE,91.2,Tharaka-Nithi,Net Enrolment Rate (NER) SECONDARY MALE
Net Enrolment Rate (NER),SECONDARY,TOTAL,97,Tharaka-Nithi,Net Enrolment Rate (NER) SECONDARY TOTAL
Primary-to-Secondary Transition Rate,SECONDARY,FEMALE,88.9,Tharaka-Nithi,Primary-To-Secondary Transition Rate SECONDARY FEMALE
Primary-to-Secondary Transition Rate,SECONDARY,MALE,87.1,Tharaka-Nithi,Primary-To-Secondary Transition Rate SECONDARY MALE
Primary-to-Secondary Transition Rate,SECONDARY,TOTAL,88.1,Tharaka-Nithi,Primary-To-Secondary Transition Rate SECONDARY TOTAL
county_population,TOTAL,FEMALE,211732,Tharaka-Nithi,County population FEMALE
county_population,TOTAL,MALE,204652,Tharaka-Nithi,County population MALE
county_population,TOTAL,TOTAL,416383,Tharaka-Nithi,County population TOTAL
school_age_children,TOTAL,FEMALE,57717,Tharaka-Nithi,School-aged children FEMALE
school_age_children,TOTAL,MALE,57545,Tharaka-Nithi,School-aged children MALE
school_age_children,TOTAL,TOTAL,115262,Tharaka-Nithi,School-aged children TOTAL
out_of_school_children,PREPRIMARY_ECE,FEMALE,1450,Tharaka-Nithi,Out-of-School children PREPRIMARY/ECE FEMALE
out_of_school_children,PREPRIMARY_ECE,MALE,1400,Tharaka-Nithi,Out-of-School children PREPRIMARY/ECE MALE
out_of_school_children,PREPRIMARY_ECE,TOTAL,2850,Tharaka-Nithi,Out-of-School children PREPRIMARY/ECE TOTAL
out_of_school_children,PRIMARY,FEMALE,1020,Tharaka-Nithi,Out-of-School children PRIMARY FEMALE
out_of_school_children,PRIMARY,MALE,1240,Tharaka-Nithi,Out-of-School children PRIMARY MALE
out_of_school_children,PRIMARY,TOTAL,2260,Tharaka-Nithi,Out-of-School children PRIMARY TOTAL
out_of_school_children,SECONDARY,FEMALE,1300,Tharaka-Nithi,Out-of-School children SECONDARY FEMALE
out_of_school_children,SECONDARY,MALE,1400,Tharaka-Nithi,Out-of-School children SECONDARY MALE
out_of_school_children,SECONDARY,TOTAL,2700,Tharaka-Nithi,Out-of-School children SECONDARY TOTAL
Percentage of Teenage Pregnancy for girls/women aged 15-19 yrs who have ever been pregnant,TOTAL,FEMALE,9.9,Tharaka-Nithi,Percentage Of Teenage Pregnancy For Girls/Women Aged 15-19 Yrs Who Have Ever Been Pregnant FEMALE
GBV: Percentage of girls/women who have experienced physical violence since age 15,TOTAL,FEMALE,34.599999999999994,Tharaka-Nithi,GBV: Percentage Of Girls/Women Who Have Experienced Physical Violence Since Age 15 FEMALE
GBV: Percentage of girls/women aged 15-49 yrs who have ever experienced sexual violence,TOTAL,FEMALE,12.5,Tharaka-Nithi,GBV: Percentage Of Girls/Women Aged 15-49 Yrs Who Have Ever Experienced Sexual Violence FEMALE
Number of education Institutions (Public & Private),PREPRIMARY_ECE,NA,942,Turkana,Number Of Education Institutions (Public & Private) PREPRIMARY/ECE 
Number of education Institutions (Public & Private),PRIMARY,NA,471,Turkana,Number Of Education Institutions (Public & Private) PRIMARY 
Number of education Institutions (Public & Private),SECONDARY,NA,61,Turkana,Number Of Education Institutions (Public & Private) SECONDARY 
Gender Parity Index,PREPRIMARY_ECE,TOTAL,0.94,Turkana,Gender Parity Index PREPRIMARY/ECE TOTAL
Gender Parity Index,PRIMARY,TOTAL,0.9,Turkana,Gender Parity Index PRIMARY TOTAL
Gender Parity Index,SECONDARY,TOTAL,0.62,Turkana,Gender Parity Index SECONDARY TOTAL
Learner to teacher Ratio in Public Schools,PREPRIMARY_ECE,TOTAL,156,Turkana,Learner-Teacher Ratio In Public Schools PREPRIMARY/ECE TOTAL
Learner to teacher Ratio in Public Schools,PRIMARY,TOTAL,88,Turkana,Learner-Teacher Ratio In Public Schools PRIMARY TOTAL
Learner to teacher Ratio in Public Schools,SECONDARY,TOTAL,49,Turkana,Learner-Teacher Ratio In Public Schools SECONDARY TOTAL
Learner-Classroom Ratio in Public Schools,PREPRIMARY_ECE,TOTAL,175,Turkana,Learner-Classroom Ratio In Public Schools PREPRIMARY/ECE TOTAL
Learner-Classroom Ratio in Public Schools,PRIMARY,TOTAL,34,Turkana,Learner-Classroom Ratio In Public Schools PRIMARY TOTAL
Learner-Classroom Ratio in Public Schools,SECONDARY,TOTAL,53,Turkana,Learner-Classroom Ratio In Public Schools SECONDARY TOTAL
Percentage of students with no access to improved water source,NA,TOTAL,38,Turkana,Percentage Of Students With No Access To Improved Water Source  TOTAL
Number of schools with no water source,NA,TOTAL,206,Turkana,Number Of Schools With No Water Source  TOTAL
Students' dropout/Absenteeism during 2022,PREPRIMARY_ECE,FEMALE,304,Turkana,Students' Dropout/Absenteeism During 2022 PREPRIMARY/ECE FEMALE
Students' dropout/Absenteeism during 2022,PREPRIMARY_ECE,MALE,0,Turkana,Students' Dropout/Absenteeism During 2022 PREPRIMARY/ECE MALE
Students' dropout/Absenteeism during 2022,PREPRIMARY_ECE,TOTAL,304,Turkana,Students' Dropout/Absenteeism During 2022 PREPRIMARY/ECE TOTAL
Students' dropout/Absenteeism during 2022,PRIMARY,FEMALE,0,Turkana,Students' Dropout/Absenteeism During 2022 PRIMARY FEMALE
Students' dropout/Absenteeism during 2022,PRIMARY,MALE,0,Turkana,Students' Dropout/Absenteeism During 2022 PRIMARY MALE
Students' dropout/Absenteeism during 2022,PRIMARY,TOTAL,0,Turkana,Students' Dropout/Absenteeism During 2022 PRIMARY TOTAL
Students' dropout/Absenteeism during 2022,SECONDARY,FEMALE,0,Turkana,Students' Dropout/Absenteeism During 2022 SECONDARY FEMALE
Students' dropout/Absenteeism during 2022,SECONDARY,MALE,530,Turkana,Students' Dropout/Absenteeism During 2022 SECONDARY MALE
Students' dropout/Absenteeism during 2022,SECONDARY,TOTAL,530,Turkana,Students' Dropout/Absenteeism During 2022 SECONDARY TOTAL
Net Enrolment Rate (NER),PREPRIMARY_ECE,FEMALE,163.7,Turkana,Net Enrolment Rate (NER) PREPRIMARY/ECE FEMALE
Net Enrolment Rate (NER),PREPRIMARY_ECE,MALE,168.9,Turkana,Net Enrolment Rate (NER) PREPRIMARY/ECE MALE
Net Enrolment Rate (NER),PREPRIMARY_ECE,TOTAL,166.4,Turkana,Net Enrolment Rate (NER) PREPRIMARY/ECE TOTAL
Net Enrolment Rate (NER),PRIMARY,FEMALE,52.2,Turkana,Net Enrolment Rate (NER) PRIMARY FEMALE
Net Enrolment Rate (NER),PRIMARY,MALE,53.7,Turkana,Net Enrolment Rate (NER) PRIMARY MALE
Net Enrolment Rate (NER),PRIMARY,TOTAL,53,Turkana,Net Enrolment Rate (NER) PRIMARY TOTAL
Net Enrolment Rate (NER),SECONDARY,FEMALE,16.2,Turkana,Net Enrolment Rate (NER) SECONDARY FEMALE
Net Enrolment Rate (NER),SECONDARY,MALE,17.1,Turkana,Net Enrolment Rate (NER) SECONDARY MALE
Net Enrolment Rate (NER),SECONDARY,TOTAL,16.7,Turkana,Net Enrolment Rate (NER) SECONDARY TOTAL
Primary-to-Secondary Transition Rate,SECONDARY,FEMALE,79,Turkana,Primary-To-Secondary Transition Rate SECONDARY FEMALE
Primary-to-Secondary Transition Rate,SECONDARY,MALE,85.3,Turkana,Primary-To-Secondary Transition Rate SECONDARY MALE
Primary-to-Secondary Transition Rate,SECONDARY,TOTAL,82.3,Turkana,Primary-To-Secondary Transition Rate SECONDARY TOTAL
county_population,TOTAL,FEMALE,517384,Turkana,County population FEMALE
county_population,TOTAL,MALE,505390,Turkana,County population MALE
county_population,TOTAL,TOTAL,1022773,Turkana,County population TOTAL
school_age_children,TOTAL,FEMALE,204247,Turkana,School-aged children FEMALE
school_age_children,TOTAL,MALE,198968,Turkana,School-aged children MALE
school_age_children,TOTAL,TOTAL,403215,Turkana,School-aged children TOTAL
out_of_school_children,PREPRIMARY_ECE,FEMALE,21230,Turkana,Out-of-School children PREPRIMARY/ECE FEMALE
out_of_school_children,PREPRIMARY_ECE,MALE,22080,Turkana,Out-of-School children PREPRIMARY/ECE MALE
out_of_school_children,PREPRIMARY_ECE,TOTAL,43310,Turkana,Out-of-School children PREPRIMARY/ECE TOTAL
out_of_school_children,PRIMARY,FEMALE,68540,Turkana,Out-of-School children PRIMARY FEMALE
out_of_school_children,PRIMARY,MALE,75980,Turkana,Out-of-School children PRIMARY MALE
out_of_school_children,PRIMARY,TOTAL,144520,Turkana,Out-of-School children PRIMARY TOTAL
out_of_school_children,SECONDARY,FEMALE,27820,Turkana,Out-of-School children SECONDARY FEMALE
out_of_school_children,SECONDARY,MALE,37990,Turkana,Out-of-School children SECONDARY MALE
out_of_school_children,SECONDARY,TOTAL,65810,Turkana,Out-of-School children SECONDARY TOTAL
